checking_balance,months_loan_duration,funded_amnt,total_rec_prncp,recoveries,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
< 0 DM,6,20000,269.45,20502.14,critical,furniture/appliances,1169,unknown,> 7 years,4,4,67,none,own,2,skilled,1,yes,no
1 - 200 DM,48,13200,554.76,13425.98797,good,furniture/appliances,5951,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,yes
unknown,12,16800,434.03,17076.02,critical,education,2096,< 100 DM,4 - 7 years,2,3,49,none,own,1,unskilled,2,no,no
< 0 DM,42,1500,65.48,1516.38,good,furniture/appliances,7882,< 100 DM,4 - 7 years,2,4,45,none,other,1,skilled,2,no,no
< 0 DM,24,1800,0,1800,poor,car,4870,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,yes
unknown,36,12325,0,12325,good,education,9055,unknown,1 - 4 years,2,4,35,none,other,1,unskilled,2,yes,no
unknown,24,1500,0,1500,good,furniture/appliances,2835,500 - 1000 DM,> 7 years,3,4,53,none,own,1,skilled,1,no,no
1 - 200 DM,36,5100,0,5100,good,car,6948,< 100 DM,1 - 4 years,2,2,35,none,rent,1,management,1,yes,no
unknown,12,24975,4049.75,24862.1,good,furniture/appliances,3059,> 1000 DM,4 - 7 years,2,4,61,none,own,1,unskilled,1,no,no
1 - 200 DM,30,14400,363.32,14165.11,critical,car,5234,< 100 DM,unemployed,4,2,28,none,own,2,management,1,no,yes
1 - 200 DM,12,3000,60.85,2939.31,good,car,1295,< 100 DM,< 1 year,3,1,25,none,rent,1,skilled,1,no,yes
< 0 DM,48,5000,113.17,4886.84,good,business,4308,< 100 DM,< 1 year,3,4,24,none,rent,1,skilled,1,no,yes
1 - 200 DM,12,3000,139.91,2931.62,good,furniture/appliances,1567,< 100 DM,1 - 4 years,1,1,22,none,own,1,skilled,1,yes,no
< 0 DM,24,4800,111.85,4688.34,critical,car,1199,< 100 DM,> 7 years,4,4,60,none,own,2,unskilled,1,no,yes
< 0 DM,15,4500,312.84,4393.23,good,car,1403,< 100 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no,no
< 0 DM,24,30000,716.79,29282.07,good,furniture/appliances,1282,100 - 500 DM,1 - 4 years,4,2,32,none,own,1,unskilled,1,no,yes
unknown,24,5000,337.07,4861.81,critical,furniture/appliances,2424,unknown,> 7 years,4,4,53,none,own,2,skilled,1,no,no
< 0 DM,30,16550,589.59,15958.26,perfect,business,8072,unknown,< 1 year,2,3,25,bank,own,3,skilled,1,no,no
1 - 200 DM,24,4225,377.08,4064.554846,good,car,12579,< 100 DM,> 7 years,4,2,44,none,other,1,management,1,yes,yes
unknown,24,10000,1451.18,5426.26,good,furniture/appliances,3430,500 - 1000 DM,> 7 years,3,2,31,none,own,1,skilled,2,yes,no
unknown,9,12000,2323.11,6507.76,critical,car,2134,< 100 DM,1 - 4 years,4,4,48,none,own,3,skilled,1,yes,no
< 0 DM,6,8400,3297.65,4529.8,good,furniture/appliances,2647,500 - 1000 DM,1 - 4 years,2,3,44,none,rent,1,skilled,2,no,no
< 0 DM,10,35000,4424.78,18858.99,critical,car,2241,< 100 DM,< 1 year,1,3,48,none,rent,2,unskilled,2,no,no
1 - 200 DM,12,20000,1490.28,10756.32,critical,car,1804,100 - 500 DM,< 1 year,3,4,44,none,own,1,skilled,1,no,no
unknown,10,4200,2092.63,2244.62,critical,furniture/appliances,2069,unknown,1 - 4 years,2,1,26,none,own,2,skilled,1,no,no
< 0 DM,6,15000,2961.48,8005.84,good,furniture/appliances,1374,< 100 DM,1 - 4 years,1,2,36,bank,own,1,unskilled,1,yes,no
unknown,6,6675,462.84,3550,perfect,furniture/appliances,426,< 100 DM,> 7 years,4,4,39,none,own,1,unskilled,1,no,no
> 200 DM,12,25000,5437.06,13292.18,very good,furniture/appliances,409,> 1000 DM,1 - 4 years,3,3,42,none,rent,2,skilled,1,no,no
1 - 200 DM,7,5000,546.33,2650.29,good,furniture/appliances,2415,< 100 DM,1 - 4 years,3,2,34,none,own,1,skilled,1,no,no
< 0 DM,60,10400,2372.67,5511.48,poor,business,6836,< 100 DM,> 7 years,3,4,63,none,own,2,skilled,1,yes,yes
1 - 200 DM,18,2800,108.65,1483.4,good,business,1913,> 1000 DM,< 1 year,3,3,36,bank,own,1,skilled,1,yes,no
< 0 DM,24,24000,4631.62,12685.71,good,furniture/appliances,4020,< 100 DM,1 - 4 years,2,2,27,store,own,1,skilled,1,no,no
1 - 200 DM,18,7200,3107.88,3800,good,car,5866,100 - 500 DM,1 - 4 years,2,2,30,none,own,2,skilled,1,yes,no
unknown,12,15000,7365.33,7890.391844,critical,business,1264,unknown,> 7 years,4,4,57,none,rent,1,unskilled,1,no,no
> 200 DM,12,9000,3089.78,4710.04,good,furniture/appliances,1474,< 100 DM,< 1 year,4,1,33,bank,own,1,management,1,yes,no
1 - 200 DM,45,3600,99.88,1878.53,critical,furniture/appliances,4746,< 100 DM,< 1 year,4,2,25,none,own,2,unskilled,1,no,yes
unknown,48,10000,1662.06,5217.65,critical,education,6110,< 100 DM,1 - 4 years,1,3,31,bank,other,1,skilled,1,yes,no
> 200 DM,18,18000,607.16,9386.67,good,furniture/appliances,2100,< 100 DM,1 - 4 years,4,2,37,store,own,1,skilled,1,no,yes
> 200 DM,10,30000,3213.74,15581.06,good,furniture/appliances,1225,< 100 DM,1 - 4 years,2,2,37,none,own,1,skilled,1,yes,no
1 - 200 DM,9,7750,1333.08,4021.62,good,furniture/appliances,458,< 100 DM,1 - 4 years,4,3,24,none,own,1,skilled,1,no,no
unknown,30,30000,9603.49,15538.7,good,furniture/appliances,2333,500 - 1000 DM,> 7 years,4,2,30,bank,own,1,management,1,no,no
1 - 200 DM,12,6000,403.54,3106.99,good,furniture/appliances,1158,500 - 1000 DM,1 - 4 years,3,1,26,none,own,1,skilled,1,yes,no
1 - 200 DM,18,4000,365.04,2069.29,poor,renovations,6204,< 100 DM,1 - 4 years,2,4,44,none,own,1,unskilled,2,yes,no
< 0 DM,30,6000,1448.11,3102.74,critical,car,6187,100 - 500 DM,4 - 7 years,1,4,24,none,rent,2,skilled,1,no,no
< 0 DM,48,6000,2608.98,3100.29,critical,car,6143,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,no,yes
unknown,11,14000,3252.56,7204.43,critical,car,1393,< 100 DM,< 1 year,4,4,35,none,own,2,management,1,no,no
unknown,36,10000,472.59,5125.85,good,furniture/appliances,2299,500 - 1000 DM,> 7 years,4,4,39,none,own,1,skilled,1,no,no
< 0 DM,6,10000,4964.44,5121.81,good,car,1352,500 - 1000 DM,unemployed,1,2,23,none,rent,1,unemployed,1,yes,no
unknown,11,3500,1788.54,1788.75,critical,car,7228,< 100 DM,1 - 4 years,1,4,39,none,own,2,unskilled,1,no,no
unknown,12,15000,328.02,7635.57,good,furniture/appliances,2073,100 - 500 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
1 - 200 DM,24,4500,201.33,2288.52,poor,furniture/appliances,2333,unknown,< 1 year,4,2,29,bank,own,1,unskilled,1,no,no
1 - 200 DM,27,4200,97.53,2133.22,poor,car,5965,< 100 DM,> 7 years,1,2,30,none,own,2,management,1,yes,no
unknown,12,10000,2677.43,5078.94,good,furniture/appliances,1262,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,no
unknown,18,7600,1438.06,3850.51,good,car,3378,unknown,1 - 4 years,2,1,31,none,own,1,skilled,1,yes,no
1 - 200 DM,36,18000,2950.75,9114.35,poor,car,2225,< 100 DM,> 7 years,4,4,57,bank,other,2,skilled,1,yes,yes
unknown,6,20000,458.59,10098.06,very good,car,783,unknown,1 - 4 years,1,2,26,store,own,1,unskilled,2,no,no
1 - 200 DM,12,8000,648.2,4024,good,furniture/appliances,6468,unknown,unemployed,2,1,52,none,own,1,management,1,yes,yes
unknown,36,10400,483.43,5201.4,critical,furniture/appliances,9566,< 100 DM,1 - 4 years,2,2,31,store,own,2,skilled,1,no,no
> 200 DM,18,4200,573.97,2100,good,car,1961,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no,no
< 0 DM,36,22000,0,11000,critical,furniture/appliances,6229,< 100 DM,< 1 year,4,4,23,none,rent,2,unskilled,1,yes,yes
1 - 200 DM,9,18000,3462.73,9000,good,business,1391,< 100 DM,1 - 4 years,2,1,27,bank,own,1,skilled,1,yes,no
1 - 200 DM,15,35000,2012.86,17472.51,critical,furniture/appliances,1537,unknown,> 7 years,4,4,50,none,own,2,skilled,1,yes,no
1 - 200 DM,36,2500,572.46,1245.56,perfect,business,1953,< 100 DM,> 7 years,4,4,61,none,other,1,management,1,yes,yes
1 - 200 DM,48,18250,3665.54,9049.43,perfect,business,14421,< 100 DM,1 - 4 years,2,2,25,none,own,1,skilled,1,yes,yes
unknown,24,35000,2805.39,17295.6,good,furniture/appliances,3181,< 100 DM,< 1 year,4,4,26,none,own,1,skilled,1,yes,no
unknown,27,18650,2379.91,9209.52,good,renovations,5190,unknown,> 7 years,4,4,48,none,own,4,skilled,2,yes,no
unknown,12,16000,2285.65,7852.98,good,furniture/appliances,2171,< 100 DM,< 1 year,2,2,29,bank,own,1,skilled,1,no,no
1 - 200 DM,12,16000,971.82,7851.29,good,car,1007,> 1000 DM,1 - 4 years,4,1,22,none,own,1,skilled,1,no,no
unknown,36,24250,6191.42,11894.96,good,education,1819,< 100 DM,1 - 4 years,4,4,37,store,other,1,skilled,1,yes,yes
unknown,36,5000,447.8,2450,good,furniture/appliances,2394,unknown,1 - 4 years,4,4,25,none,own,1,skilled,1,no,no
unknown,36,2000,130.76,978.16,good,car,8133,< 100 DM,1 - 4 years,1,2,30,bank,own,1,skilled,1,no,no
unknown,7,5000,451.78,2444,critical,furniture/appliances,730,unknown,> 7 years,4,2,46,none,rent,2,unskilled,1,yes,no
< 0 DM,8,16000,5226.9,7819.71,critical,car0,1164,< 100 DM,> 7 years,3,4,51,bank,other,2,management,2,yes,no
1 - 200 DM,42,3600,244.22,1750,critical,business,5954,< 100 DM,4 - 7 years,2,1,41,bank,own,2,unskilled,1,no,no
< 0 DM,36,6400,2518.7,3103.43,good,education,1977,unknown,> 7 years,4,4,40,none,own,1,management,1,yes,yes
< 0 DM,12,5000,224.63,2422.7,critical,car,1526,< 100 DM,> 7 years,4,4,66,none,other,2,management,1,no,no
< 0 DM,42,8500,1339.45,4105.81,good,furniture/appliances,3965,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,no,yes
1 - 200 DM,11,20675,5187.05,9970.44,poor,furniture/appliances,4771,< 100 DM,4 - 7 years,2,4,51,none,own,1,skilled,1,no,no
unknown,54,5000,468.74,2402,perfect,car,9436,unknown,1 - 4 years,2,2,39,none,own,1,unskilled,2,no,no
1 - 200 DM,30,16000,1982.08,7685.12,good,furniture/appliances,3832,< 100 DM,< 1 year,2,1,22,none,own,1,skilled,1,no,no
unknown,24,10000,460.73,4800,good,furniture/appliances,5943,unknown,< 1 year,1,1,44,none,own,2,skilled,1,yes,yes
unknown,15,5000,468.08,2383.5,good,furniture/appliances,1213,500 - 1000 DM,> 7 years,4,3,47,store,own,1,skilled,1,yes,no
unknown,18,4800,1881.26,2286.83,good,business,1568,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no,no
< 0 DM,24,30000,2028.07,14277.83,good,car0,1755,< 100 DM,> 7 years,4,4,58,none,own,1,unskilled,1,yes,no
< 0 DM,10,27000,5183.98,12848.34,good,furniture/appliances,2315,< 100 DM,> 7 years,3,4,52,none,own,1,unskilled,1,no,no
unknown,12,9000,211.68,4274.8,critical,business,1412,< 100 DM,1 - 4 years,4,2,29,none,own,2,management,1,yes,no
1 - 200 DM,18,27050,985.41,12841.77,critical,furniture/appliances,1295,< 100 DM,< 1 year,4,1,27,none,own,2,skilled,1,no,no
1 - 200 DM,36,4000,2085.31,1898.32,good,education,12612,100 - 500 DM,1 - 4 years,1,4,47,none,other,1,skilled,2,yes,yes
< 0 DM,18,18000,3237.84,8539.45,good,car,2249,100 - 500 DM,4 - 7 years,4,3,30,none,own,1,management,2,yes,no
< 0 DM,12,25000,10546.05,11800.71,perfect,renovations,1108,< 100 DM,4 - 7 years,4,3,28,none,own,2,skilled,1,no,yes
unknown,12,16000,2862.23,7545.19,critical,furniture/appliances,618,< 100 DM,> 7 years,4,4,56,none,own,1,skilled,1,no,no
< 0 DM,12,4000,401.62,1873.09,critical,car,1409,< 100 DM,> 7 years,4,3,54,none,own,1,skilled,1,no,no
unknown,12,15000,3600.45,7008.28,critical,furniture/appliances,797,unknown,> 7 years,4,3,33,bank,own,1,unskilled,2,no,yes
> 200 DM,24,14400,310.03,6672.86,critical,furniture/appliances,3617,unknown,> 7 years,4,4,20,none,rent,2,skilled,1,no,no
1 - 200 DM,12,35000,2087.38,16188.88,good,car,1318,> 1000 DM,> 7 years,4,4,54,none,own,1,skilled,1,yes,no
1 - 200 DM,54,3600,758.54,1664.78,perfect,business,15945,< 100 DM,< 1 year,3,4,58,none,rent,1,skilled,1,yes,yes
unknown,12,35000,4801.54,16066.02,critical,education,2012,unknown,4 - 7 years,4,2,61,none,own,1,skilled,1,no,no
1 - 200 DM,18,16000,8849.59,7333.03,good,business,2622,100 - 500 DM,1 - 4 years,4,4,34,none,own,1,skilled,1,no,no
1 - 200 DM,36,7000,1248.54,3203.28,critical,furniture/appliances,2337,< 100 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,no
1 - 200 DM,20,9000,2052,4117.72,poor,car,7057,unknown,4 - 7 years,3,4,36,bank,rent,2,management,2,yes,no
unknown,24,3325,297.78,1520.01,good,car,1469,100 - 500 DM,> 7 years,4,4,41,none,rent,1,unskilled,1,no,no
1 - 200 DM,36,7000,1161.58,3200,good,furniture/appliances,2323,< 100 DM,4 - 7 years,4,4,24,none,rent,1,skilled,1,no,no
unknown,6,26400,5259.06,12022.81,poor,furniture/appliances,932,< 100 DM,1 - 4 years,3,2,24,none,own,1,skilled,1,no,no
1 - 200 DM,9,11000,3427.03,5000.14,critical,furniture/appliances,1919,< 100 DM,4 - 7 years,4,3,35,none,rent,1,skilled,1,yes,no
unknown,12,9600,1514.88,4362.2,good,car,2445,unknown,< 1 year,2,4,26,none,rent,1,skilled,1,yes,no
1 - 200 DM,24,30750,2503.1,13900,critical,car0,11938,< 100 DM,1 - 4 years,2,3,39,none,own,2,management,2,yes,yes
unknown,18,7600,2081.31,3430.79,very good,car,6458,< 100 DM,> 7 years,2,4,39,bank,own,2,management,2,yes,yes
1 - 200 DM,12,12000,6673.53,5391.16,good,car,6078,< 100 DM,4 - 7 years,2,2,32,none,own,1,skilled,1,no,no
